active_backlog,branch_issue_deadline,cgpa,company_name,course,dept,exam_date,interview_date,ppt_date,profile,purpose,status,total_backlog,updated_at,willingness_deadline,x_percent,xii_percent
,"Wed, 20 Sep 2017 | 10 AM",7.0,Deutsche Bank,mtech,ece,,,,Analyst,placement 2017-18,Open for Willingness,,2017-09-19 16:52:00,"Wed, 20 Sep 2017 | 10 AM",70.0,70.0
,"Wed, 20 Sep 2017 | 10 AM",0.0,Amazon,btechidd,cse eee ece mat,,,,,placement 2017-18,Under Branch Issue,,2017-09-19 16:14:00,,0.0,0.0
,"Wed, 6 Sep 2017 | 12 PM",6.0,ACCOLITE,btechidd,cse eee ece mat,,,,Software Engineer,placement 2017-18,Open for Willingness,,2017-09-19 15:53:00,"Wed, 20 Sep 2017 | 3 PM",0.0,0.0
,"Wed, 20 Sep 2017 | 10 AM",6.0,I Cube Nanotec,btech,cer,,,,,placement 2017-18,Under Branch Issue,,2017-09-19 14:15:00,,60.0,60.0
,"Wed, 20 Sep 2017 | 10 AM",6.5,Tata Steel,btech,cer eee,,,,Management Trainee Technical,placement 2017-18,Under Branch Issue,,2017-09-19 14:05:00,,60.0,60.0
,"Wed, 20 Sep 2017 | 10 AM",0.0,CAPGEMINI,btechidd,cer che civ cse eee ece mec met min bce bme mst mat,,,,,placement 2017-18,Under Branch Issue,,2017-09-19 13:37:00,,0.0,0.0
,"Wed, 20 Sep 2017 | 10 AM",7.0,Orbees,idd,civ eee mec phe bce bme,,,,Associate Consultant,placement 2017-18,Under Branch Issue,,2017-09-19 13:27:00,,0.0,0.0
0.0,"Wed, 12 Jul 2017 | 11 PM",0.0,Futures First,btechidd,cer che civ cse eee ece mec met min phe bce bme mst chy phy mat,2017-09-23 00:00:00,,2017-09-23 00:00:00,Trainee-Market Analyst,placement 2017-18,Open for Willingness,,2017-09-19 12:28:00,"Wed, 20 Sep 2017 | 10 AM",0.0,0.0
,"Thu, 21 Sep 2017 | 10 AM",0.0,Amrita University,phd,civ cse eee ece mec,,,,Assistant Professor,placement 2017-18,Under Branch Issue,,2017-09-19 01:09:00,,0.0,0.0
,"Thu, 21 Sep 2017 | 10 AM",6.0,Mercedes Benz,iddmtech,eee ece mat,,,,PGET,placement 2017-18,Under Branch Issue,,2017-09-19 01:01:00,,60.0,60.0
